"ID","Page Title","Page Notes","Page URL"
"page_001","Login","Login portal<div><br></div><div>Includes support contact information</div>",""
"page_001_001","Dashboard","Application dashboard displays upcoming reminders and recent log updates.",""
"page_001_001_001","Users","Application user list where you can view, add, edit or delete users.",""
"page_001_001_001_001","Add","",""
"page_001_001_001_002","Edit","",""
"page_001_001_001_003","Delete","",""
"page_001_001_002","Assets","Application asset list such as vehicles and equipment. Users can view, add, edit or delete assets here.",""
"page_001_001_002_001","Add ","",""
"page_001_001_002_002","Edit","",""
"page_001_001_002_003","Delete","",""
"page_001_001_003","Logs","Application log list where maintenance logs can be viewed, added, edited or deleted by users. Logs reference application assets. &nbsp;",""
"page_001_001_003_001","Add","",""
"page_001_001_003_002","Edit","",""
"page_001_001_003_003","Delete","",""
"page_001_002","Reset Password","Password reset portal for users to reset their password.",""
